endpoint,method,model_id,model,source_id,source,source_class,target_id,target,target_class,n_source_cal,n_target_cal,n_target_test,src_cal_pos,tgt_test_pos,tgt_test_neg,ece_raw,ece_indomain,ece_transferred,aece_raw,aece_indomain,aece_transferred,brier_raw,brier_indomain,brier_transferred,nll_raw,nll_indomain,nll_transferred,auroc_raw,auroc_transferred,auroc_change,transfer_success,collapse
NORM,temperature,M5,ECG-FM,D1,PTB-XL,NORM,D3,CODE-15%,NORM,297,1200,1197,125,459,738,0.07320928253728723,0.07125333146617145,0.07180716097043828,0.08550740062983593,0.07691373264824444,0.07812979236654867,0.23313119977836816,0.229010975705565,0.2291268034989002,0.6677752376743824,0.6506234999542326,0.6508008096226866,0.6340636826847571,0.6340636826847571,0.0,True,False
NORM,platt,M6,S4D,D1,PTB-XL,NORM,D3,CODE-15%,NORM,297,1200,1197,125,459,738,0.03787186478554947,0.03838382398454782,0.060915780975893966,0.05466816528139487,0.052723311347247316,0.06731949266206073,0.22112755557194394,0.22088940882665345,0.22342431777148847,0.6338833058554036,0.6311329725689224,0.637161427668567,0.6556582886090299,0.6556582886090299,0.0,False,True
NORM,isotonic,M6,S4D,D1,PTB-XL,NORM,D3,CODE-15%,NORM,297,1200,1197,125,459,738,0.03787186478554947,0.03786876739763525,0.02977686896903668,0.05466816528139487,0.0521763781312492,0.04720786398218458,0.22112755557194394,0.22305408432332666,0.2242885699119483,0.6338833058554036,0.7034583242715537,0.6938655268463664,0.6556582886090299,0.6375737286784632,-0.01808455993056668,True,False
NORM,temperature,M6,S4D,D1,PTB-XL,NORM,D3,CODE-15%,NORM,297,1200,1197,125,459,738,0.03787186478554947,0.03907603976745429,0.03927641210355767,0.05466816528139487,0.054616007020140474,0.054612686736048674,0.22112755557194394,0.2213024510697918,0.22131334359362,0.6338833058554036,0.633899604928761,0.6339069016852399,0.6556582886090299,0.6556582886090299,0.0,False,True
NORM,platt,M1,MERL,D1,PTB-XL,NORM,D4,CPSC2018,Normal,297,1031,1031,125,133,898,0.02370467984585343,0.029805178300016062,0.0878071012666568,0.02083007569307572,0.030922765005964237,0.08402775536130998,0.05877586866973468,0.059496931780007374,0.06536053926207495,0.19937896620765722,0.20449406837608056,0.25251656716551285,0.943759733409247,0.943759733409247,0.0,False,True
NORM,isotonic,M1,MERL,D1,PTB-XL,NORM,D4,CPSC2018,Normal,297,1031,1031,125,133,898,0.02370467984585343,0.024607041986707164,0.06206104488658424,0.02083007569307572,0.009356723909011858,0.06189703878044493,0.05877586866973468,0.05931265809680305,0.06876242846098508,0.19937896620765722,0.22314386208274958,0.23219315200530025,0.943759733409247,0.9419135254617612,-0.0018462079474858006,False,True
NORM,temperature,M1,MERL,D1,PTB-XL,NORM,D4,CPSC2018,Normal,297,1031,1031,125,133,898,0.02370467984585343,0.029337016540007615,0.05876776227885381,0.02083007569307572,0.023910197460176925,0.05585763554777879,0.05877586866973468,0.058709610836745516,0.06387063105039388,0.19937896620765722,0.19543373254656699,0.21651360987712157,0.943759733409247,0.9437597334092469,-1.1102230246251565e-16,False,True
NORM,platt,M2,ST-MEM,D1,PTB-XL,NORM,D4,CPSC2018,Normal,297,1031,1031,125,133,898,0.041708244466530674,0.027473575670217916,0.10904879414504463,0.03553902259650301,0.04622282505942886,0.1061767024017451,0.05479591214875627,0.05470243804794552,0.06421976483278519,0.1970473753540843,0.19505521052181382,0.25887278830995364,0.96268231826783,0.9626823182678299,-1.1102230246251565e-16,False,True
NORM,isotonic,M2,ST-MEM,D1,PTB-XL,NORM,D4,CPSC2018,Normal,297,1031,1031,125,133,898,0.041708244466530674,0.021944132699470785,0.06229651647946974,0.03553902259650301,0.015098510263545447,0.05729987113730211,0.05479591214875627,0.05108859527771695,0.06521961123669068,0.1970473753540843,0.18850380351504206,0.21098422012684925,0.96268231826783,0.9530326372724685,-0.009649680995361565,False,True
NORM,temperature,M2,ST-MEM,D1,PTB-XL,NORM,D4,CPSC2018,Normal,297,1031,1031,125,133,898,0.041708244466530674,0.03102790450918055,0.05122293125809057,0.03553902259650301,0.021769580645668137,0.04562683584097142,0.05479591214875627,0.05143931726838049,0.05515548644707892,0.1970473753540843,0.1653936464635304,0.18668179591002362,0.96268231826783,0.9626823182678299,-1.1102230246251565e-16,False,True
NORM,platt,M3,HuBERT-ECG,D1,PTB-XL,NORM,D4,CPSC2018,Normal,297,1031,1031,125,133,898,0.0624277377450906,0.0396911463163519,0.13220211478348598,0.06504350512900015,0.05377375073029484,0.1342671884722,0.0885892425174987,0.08297134309313939,0.0989381345079943,0.30246624923571425,0.2831983999475802,0.35307453732295985,0.8943182008473298,0.8943182008473298,0.0,False,True
NORM,isotonic,M3,HuBERT-ECG,D1,PTB-XL,NORM,D4,CPSC2018,Normal,297,1031,1031,125,133,898,0.0624277377450906,0.016195426864285878,0.12949811181915621,0.06504350512900015,0.02310609876062958,0.12771525970361053,0.0885892425174987,0.07896961974599064,0.10591931469334964,0.30246624923571425,0.25045262828267373,0.33127476492254276,0.8943182008473298,0.8838186780983638,-0.01049952274896604,False,True
NORM,temperature,M3,HuBERT-ECG,D1,PTB-XL,NORM,D4,CPSC2018,Normal,297,1031,1031,125,133,898,0.0624277377450906,0.04337432729941915,0.11663834414604875,0.06504350512900015,0.045369404487186064,0.11432948876967113,0.0885892425174987,0.08267005676597794,0.09501565801902732,0.30246624923571425,0.2605817984952255,0.31908649743682055,0.8943182008473298,0.8943182008473299,1.1102230246251565e-16,False,True
NORM,platt,M4,ECGFM-KED,D1,PTB-XL,NORM,D4,CPSC2018,Normal,297,1031,1031,125,133,898,0.029770495169617647,0.03436222991859538,0.07359614224549543,0.024143870260656553,0.028545224840334445,0.06470966503929788,0.07995030828662665,0.07965408761321828,0.0836781164720496,0.26996876069018394,0.2732694471093629,0.30023255495925355,0.8702044643903746,0.8702044643903746,0.0,False,True
NORM,isotonic,M4,ECGFM-KED,D1,PTB-XL,NORM,D4,CPSC2018,Normal,297,1031,1031,125,133,898,0.029770495169617647,0.024384771183592637,0.07147765223745313,0.024143870260656553,0.024247043826755552,0.06520173556983368,0.07995030828662665,0.07962386061754625,0.08535565156725307,0.26996876069018394,0.27121330879975225,0.31301288539515393,0.8702044643903746,0.8587462531607415,-0.011458211229633086,False,True
NORM,temperature,M4,ECGFM-KED,D1,PTB-XL,NORM,D4,CPSC2018,Normal,297,1031,1031,125,133,898,0.029770495169617647,0.03592766211520631,0.10879102799163895,0.024143870260656553,0.03075388091365958,0.10349371960291533,0.07995030828662665,0.08048926229277134,0.09359331227476456,0.26996876069018394,0.2704583674721398,0.3154464502743825,0.8702044643903746,0.8702044643903746,0.0,False,True
NORM,platt,M5,ECG-FM,D1,PTB-XL,NORM,D4,CPSC2018,Normal,297,1031,1031,125,133,898,0.03745833927035588,0.024145306221034127,0.08872962550267732,0.037061191466045425,0.039708133263996935,0.08615861783675312,0.08099371047615317,0.0795171241942546,0.08580541023958728,0.26719558399729515,0.27127981738287354,0.30599884968736213,0.8866319473516754,0.8866319473516754,0.0,False,True
