dataset_id,dataset_name,model_id,model_name,cal_size,effective_n,method,n_reps,n_valid_reps,ece_ew_mean,ece_ew_std,brier_mean,brier_std,auroc_mean,auroc_std
D1,PTB-XL,M6_s4d_configured,Configured S4D,20,20,learned_mlp_head,5,5,0.12860796441917594,0.036478951907094256,0.1640646846968667,0.014118255185206657,0.7145272566684331,0.03764456479128055
D1,PTB-XL,M6_s4d_configured,Configured S4D,20,20,monotone_platt,5,5,0.09743961429064277,0.01545188979614126,0.15546704838914133,0.005580035568232949,0.738817683229448,0.0
D1,PTB-XL,M6_s4d_configured,Configured S4D,20,20,temperature_scaling,5,5,0.09366201182004916,0.012083952018262577,0.15236268648930965,0.005397570428855712,0.738817683229448,0.0
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,isotonic_regression,5,5,0.09115057021322023,0.011328548675768668,0.1600140832265776,0.003825203796386261,0.7084162313574078,0.014339226040151563
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,learned_mlp_head,5,5,0.10270675827724947,0.011735516915186997,0.15234047580905824,0.003034484344214189,0.7439798723092841,0.006606758323638854
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,monotone_platt,5,5,0.08699171933495964,0.009846672226742868,0.15155405332188454,0.004206869289831953,0.738817683229448,0.0
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,temperature_scaling,5,5,0.0828031067892284,0.007166344001496554,0.1480949961566213,0.001364605931478633,0.738817683229448,0.0
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,isotonic_regression,5,5,0.07653631511501498,0.010143679085820952,0.15440567478611839,0.004491180857589856,0.7182175410704823,0.002553860745608186
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,learned_mlp_head,5,5,0.0864501890941605,0.009947474075649394,0.14782022930081853,0.0006255197347802827,0.7448147744383039,0.005152277412813855
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,monotone_platt,5,5,0.0768105712878607,0.007058494797324621,0.1490951920767072,0.0029395176737384643,0.738817683229448,0.0
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,temperature_scaling,5,5,0.0749330212109392,0.006846169806809128,0.1467399689620438,0.0008902315117598011,0.738817683229448,0.0
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,isotonic_regression,5,5,0.07187867814502816,0.012561470089540491,0.1560290401942874,0.0054539179081871374,0.7161399264811029,0.004511704503203369
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,learned_mlp_head,5,5,0.07702415076697273,0.00684147540365478,0.14631356105510707,0.0019321564110037837,0.7492188591953297,0.004984326187055877
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,monotone_platt,5,5,0.07883854098741547,0.010130410997801802,0.1495500683169202,0.0026199050348577756,0.738817683229448,0.0
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,temperature_scaling,5,5,0.07336686903816332,0.003896672365900681,0.14638476614135035,0.0010558174891072782,0.738817683229448,0.0
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,isotonic_regression,5,5,0.06335487697296394,0.0048101905833738854,0.15182667259977997,0.0017065441435958422,0.7236741186564716,0.0006693923231275841
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,learned_mlp_head,5,5,0.07546557885647745,0.008832282348908357,0.14632378066632487,0.002376758502868567,0.7479071390718449,0.003654242730739257
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,monotone_platt,5,5,0.0709103545962525,0.006364867382158575,0.14756388727473374,0.0005465414465008937,0.738817683229448,0.0
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,temperature_scaling,5,5,0.07113746580162063,0.0037277449467039937,0.14572294674262756,0.00020266022500438314,0.738817683229448,0.0
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,isotonic_regression,5,5,0.06088315856381599,0.0,0.15132426271958144,0.0,0.7245871880283645,0.0
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,learned_mlp_head,5,5,0.07893436022025624,0.0,0.14561316798940216,0.0,0.7495291257644199,0.0
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,monotone_platt,5,5,0.07475178373108424,0.0,0.14723400468522554,0.0,0.738817683229448,0.0
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,temperature_scaling,5,5,0.06953543303762405,0.0,0.1456050147442395,0.0,0.738817683229448,0.0
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,10,10,isotonic_regression,5,5,0.04247575074871192,0.00644622504089848,0.0286889547274273,0.0029715570854231036,0.9814538403911948,0.00878669189291371
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,10,10,learned_mlp_head,5,5,0.07179993675529492,0.013441340527309503,0.06548650225514488,0.014951342831651025,0.7819678293614551,0.0974942855344041
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,10,10,monotone_platt,5,5,0.043809453186385364,0.008490704253221243,0.030320386297492962,0.004226428166128423,0.9869273814139705,1.1102230246251565e-16
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,10,10,temperature_scaling,5,5,0.04113330767521071,0.006577676129565434,0.02728466329204482,0.0009246185842770713,0.9867012574448296,0.000452247938281447
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,20,20,isotonic_regression,5,5,0.034371195058449974,0.0033884127946016943,0.026590364150192253,0.0023287069521812443,0.9722492700085752,0.010794776545884933
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,20,20,learned_mlp_head,5,5,0.07920172909095768,0.027567243820036336,0.07405909657266438,0.0138658455454864,0.7463456330048895,0.09414182002022103
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,20,20,monotone_platt,5,5,0.039232989387713295,0.004397526761213678,0.027081820296382474,0.0038484672511628964,0.9866868811734701,0.00048100048100048194
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,20,20,temperature_scaling,5,5,0.045364949406392505,0.005299090621109319,0.028217184668500723,0.0011556071482333298,0.9863843469575893,0.0005751944853725802
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,50,50,isotonic_regression,5,5,0.03328667115677873,0.005739944493074338,0.02734922927445115,0.004394183313636055,0.9582013898656218,0.01792963197765471
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,50,50,learned_mlp_head,5,5,0.07474851369219512,0.04779352609210095,0.054222549104178806,0.03260677930963213,0.8773706279645104,0.12052983563649591
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,50,50,monotone_platt,5,5,0.03603354501540191,0.005567554120811416,0.027822910058675977,0.003964216194129907,0.9864637986720494,0.0009591824442750927
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,50,50,temperature_scaling,5,5,0.04508455073335687,0.0031172854248692284,0.02781266374335658,0.0006187118504781432,0.9861843512715598,0.0006180599913113384
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,75,75,isotonic_regression,5,5,0.02642417877395433,0.0024327274025120645,0.023013729732153706,0.000953467973277954,0.967293316995393,0.008999021974386607
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,75,75,learned_mlp_head,5,5,0.05199021300719918,0.01187186418338576,0.041363156266392885,0.014274864849524579,0.8988390800632864,0.09285624774438955
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,75,75,monotone_platt,5,5,0.03150814797855141,0.0022374941917499953,0.0230948762197882,0.0010111038400220321,0.9858201105486349,0.002344647479062286
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,75,75,temperature_scaling,5,5,0.04244792205799469,0.0021530704522134438,0.02671033557765266,0.00047910178628259996,0.9867012574448296,0.000452247938281447
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,100,100,isotonic_regression,5,5,0.024012435401782276,0.002195045188882928,0.023988890685854407,0.0018317213758606498,0.9588740922746087,0.005862335970139029
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,100,100,learned_mlp_head,5,5,0.04468782511791839,0.0014365461211854542,0.03209236435685062,0.0014217018899584494,0.9637749763925815,0.003934438273529738
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,100,100,monotone_platt,5,5,0.02958485041556978,0.002253042312205737,0.023036311483832957,0.001914719907432008,0.9869273814139705,1.1102230246251565e-16
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,100,100,temperature_scaling,5,5,0.0420928131298136,0.0023668489627451206,0.026723904373468804,0.0005476448212463235,0.9868608743642232,0.0001330140994945328
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,150,150,isotonic_regression,5,5,0.02103465853570603,0.0018913113820816644,0.022427557851714082,0.0007084885686375706,0.9661420027399672,0.006845378981091775
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,150,150,learned_mlp_head,5,5,0.043866008964621575,0.0026509262659492536,0.028958889818876093,0.0004922676493681921,0.967942605414691,0.004197564764618823
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,150,150,monotone_platt,5,5,0.029679858228193374,0.0009311378511177042,0.02114420453795336,0.00013721085771203152,0.9869273814139705,1.1102230246251565e-16
