phase,dataset_id,dataset_name,model_id,model_name,auroc,auprc,ece_ew,ece_em,brier,sce,recal_method
B,D1,PTB-XL,M5,ECG-FM,0.9213880445275132,0.8573854788731644,0.057696597667022065,0.05858861302754349,0.11022550818334631,-0.056708279047820886,temperature_scaling
B,D1,PTB-XL,M5,ECG-FM,0.9213880445275132,0.8573854788731644,0.020207374098782354,0.017534270579725005,0.1036742937783813,-0.0008489306045011569,platt_scaling
B,D1,PTB-XL,M5,ECG-FM,0.9204823697833643,0.8428527511619149,0.018776344845437592,0.019515852425519165,0.10421888449326673,-0.00029564267081255165,isotonic_regression
B,D1,PTB-XL,M5,ECG-FM,0.9171839154200733,0.8502889919658921,0.02419590316053312,0.023825776360362434,0.10664255095937873,-0.005002858235940831,learned_mlp_head
B,D3,CODE-15%,M1,MERL,0.9119958884824871,0.7916910813451105,0.04485833265831073,0.04632246137602488,0.10286491714241375,-0.04301612716565529,temperature_scaling
B,D3,CODE-15%,M1,MERL,0.9119958884824871,0.7916910813451105,0.01537234862751017,0.014114223777281587,0.097658787384674,0.0009836095536127686,platt_scaling
B,D3,CODE-15%,M1,MERL,0.911804305301454,0.7842214071039177,0.0137885944303746,0.012816534278537925,0.09767229563793374,0.0010489435606325663,isotonic_regression
B,D3,CODE-15%,M1,MERL,0.9098381602506853,0.7858935865477296,0.01397611892564843,0.011986878128683506,0.09870099375745846,0.0004219516729936,learned_mlp_head
B,D3,CODE-15%,M2,ST-MEM,0.9192296541344946,0.8116556290949265,0.039780980556085706,0.039982042769245656,0.09899636764582857,-0.03762761526840429,temperature_scaling
B,D3,CODE-15%,M2,ST-MEM,0.9192296541344946,0.8116556290949265,0.013257987553750477,0.011249776604910342,0.09530521836220866,0.0020648776547362406,platt_scaling
B,D3,CODE-15%,M2,ST-MEM,0.9191244685450978,0.8052621314852498,0.012102384504303336,0.010142425835328027,0.09524793931514014,0.0020050247851759197,isotonic_regression
B,D3,CODE-15%,M2,ST-MEM,0.9182610771810603,0.8094813311838807,0.013477616114293536,0.011976125819476631,0.09578253365128937,-0.0019057297228525082,learned_mlp_head
B,D3,CODE-15%,M3,HuBERT-ECG,0.9215860878985063,0.8206576904837327,0.054107746545473734,0.0547115731975607,0.10266840473719131,-0.052825243213276064,temperature_scaling
B,D3,CODE-15%,M3,HuBERT-ECG,0.9215860878985063,0.8206576904837327,0.015777435165488473,0.01331555733224183,0.09536323072965613,-0.00174743157007421,platt_scaling
B,D3,CODE-15%,M3,HuBERT-ECG,0.9214636302458391,0.8142671429108983,0.012800858692328136,0.012223534489043307,0.09531722005054788,-0.0017165260557085275,isotonic_regression
B,D3,CODE-15%,M3,HuBERT-ECG,0.9204246225406542,0.8183208669501544,0.014407545757479967,0.014244763692792428,0.09592266023339335,-0.003967263981389502,learned_mlp_head
B,D3,CODE-15%,M4,ECGFM-KED,0.9157417077931694,0.8057256823199013,0.03525450062317153,0.03628927899799309,0.0992736578257173,-0.03436845069775979,temperature_scaling
B,D3,CODE-15%,M4,ECGFM-KED,0.9157417077931694,0.8057256823199013,0.015863322377080716,0.013992499801456386,0.09639155863738778,0.002759697536875805,platt_scaling
B,D3,CODE-15%,M4,ECGFM-KED,0.9156660334974293,0.799173967577473,0.014769158782375355,0.011163092689857391,0.09626628023123085,0.0027324047395959495,isotonic_regression
B,D3,CODE-15%,M4,ECGFM-KED,0.914338385778766,0.8027144280814066,0.015372975626587867,0.013806264465954156,0.09713392242526009,0.001737417949487766,learned_mlp_head
B,D3,CODE-15%,M5,ECG-FM,0.9198318070588266,0.8184891721862971,0.044474209968249,0.04580984337486249,0.09993076210292307,-0.04368937905877828,temperature_scaling
B,D3,CODE-15%,M5,ECG-FM,0.9198318265092539,0.8184891917681146,0.01587464839977523,0.014046213350990246,0.09491807305060569,-2.0321050782998297e-05,platt_scaling
B,D3,CODE-15%,M5,ECG-FM,0.9197336302449667,0.8121950379450874,0.012875877999328074,0.010936539915892989,0.09474322972716293,-9.392468525717626e-05,isotonic_regression
B,D3,CODE-15%,M5,ECG-FM,0.9184031548499719,0.814940656872062,0.01435417083464563,0.013112213265853158,0.09571676998801354,-0.00408731995796164,learned_mlp_head
