endpoint,dataset,model,method,integrated_nb,integrated_vs_treat_all,nb_at_0.10,nb_at_0.15,nb_at_0.20
AF,MIMIC-IV-ECG,HuBERT-ECG,platt,0.018621,0.1252,0.058324,0.05257,0.041528
AF,MIMIC-IV-ECG,HuBERT-ECG,treat_all,-0.106579,0.0,0.036545,-0.020129,-0.083887
AF,MIMIC-IV-ECG,HuBERT-ECG,treat_none,0.0,0.106579,0.0,0.0,0.0
AF,MIMIC-IV-ECG,ECGFM-KED,raw,0.003634,0.110212,0.04725,0.029509,0.023256
AF,MIMIC-IV-ECG,ECGFM-KED,isotonic,0.00065,0.107229,0.040236,0.030096,0.019934
AF,MIMIC-IV-ECG,ECGFM-KED,platt,0.002254,0.108832,0.041344,0.016416,0.005814
AF,MIMIC-IV-ECG,ECGFM-KED,treat_all,-0.106579,0.0,0.036545,-0.020129,-0.083887
AF,MIMIC-IV-ECG,ECGFM-KED,treat_none,0.0,0.106579,0.0,0.0,0.0
AF,MIMIC-IV-ECG,ECG-FM,raw,0.011348,0.117927,0.056109,0.040063,0.032392
AF,MIMIC-IV-ECG,ECG-FM,isotonic,0.010762,0.11734,0.050572,0.041235,0.030731
AF,MIMIC-IV-ECG,ECG-FM,platt,0.012057,0.118636,0.049465,0.036936,0.02907
AF,MIMIC-IV-ECG,ECG-FM,treat_all,-0.106579,0.0,0.036545,-0.020129,-0.083887
AF,MIMIC-IV-ECG,ECG-FM,treat_none,0.0,0.106579,0.0,0.0,0.0
AF,MIMIC-IV-ECG,S4D,raw,0.007588,0.114167,0.06017,0.033809,0.024917
AF,MIMIC-IV-ECG,S4D,isotonic,0.006048,0.112627,0.057586,0.029314,0.002492
AF,MIMIC-IV-ECG,S4D,platt,0.004596,0.111174,0.037283,0.003127,0.005814
AF,MIMIC-IV-ECG,S4D,treat_all,-0.106579,0.0,0.036545,-0.020129,-0.083887
AF,MIMIC-IV-ECG,S4D,treat_none,0.0,0.106579,0.0,0.0,0.0
