cell,model,dataset,class,ece,auroc,prevalence,log_npos,feature_spread,objective,dataset_cat,multilabel
M3_D1,HuBERT-ECG,PTB-XL,CD,0.14708116355867448,0.7993147332354381,0.24080267548561096,1.8573324964312685,0.6333665251731873,masked,D1,1
M3_D1,HuBERT-ECG,PTB-XL,HYP,0.10771562838105565,0.6584848484848485,0.08026755601167679,1.380211241711606,0.6333665251731873,masked,D1,1
M4_D1,ECGFM-KED,PTB-XL,NORM,0.09298565645744361,0.8410783170359738,0.47491639852523804,2.1522883443830563,0.11952430009841919,knowledge,D1,1
M4_D1,ECGFM-KED,PTB-XL,MI,0.09938041702086728,0.7351351351351351,0.13377925753593445,1.6020599913279623,0.11952430009841919,knowledge,D1,1
M4_D1,ECGFM-KED,PTB-XL,STTC,0.06865428927139182,0.7850175575497463,0.22073578834533691,1.8195439355418688,0.11952430009841919,knowledge,D1,1
M4_D1,ECGFM-KED,PTB-XL,CD,0.0762202394905787,0.8179148311306902,0.24080267548561096,1.8573324964312685,0.11952430009841919,knowledge,D1,1
M4_D1,ECGFM-KED,PTB-XL,HYP,0.05872993303253713,0.6677272727272727,0.08026755601167679,1.380211241711606,0.11952430009841919,knowledge,D1,1
M5_D1,ECG-FM,PTB-XL,NORM,0.11176336894988684,0.848748542208666,0.47491639852523804,2.1522883443830563,0.752017080783844,hybrid,D1,1
M5_D1,ECG-FM,PTB-XL,MI,0.07719347094762502,0.8465250965250966,0.13377925753593445,1.6020599913279623,0.752017080783844,hybrid,D1,1
M5_D1,ECG-FM,PTB-XL,STTC,0.0946785110735959,0.832227857978931,0.22073578834533691,1.8195439355418688,0.752017080783844,hybrid,D1,1
M5_D1,ECG-FM,PTB-XL,CD,0.07321505390098924,0.8612334801762115,0.24080267548561096,1.8573324964312685,0.752017080783844,hybrid,D1,1
M5_D1,ECG-FM,PTB-XL,HYP,0.08421394964360449,0.6853030303030303,0.08026755601167679,1.380211241711606,0.752017080783844,hybrid,D1,1
M6_D1,S4D,PTB-XL,NORM,0.09176053862828372,0.7767560778684848,0.47491639852523804,2.1522883443830563,9.205646514892578,supervised,D1,1
M6_D1,S4D,PTB-XL,MI,0.058903486319876915,0.8129343629343629,0.13377925753593445,1.6020599913279623,9.205646514892578,supervised,D1,1
M6_D1,S4D,PTB-XL,STTC,0.09401953604723966,0.6046299908960853,0.22073578834533691,1.8195439355418688,9.205646514892578,supervised,D1,1
M6_D1,S4D,PTB-XL,CD,0.0421469411385557,0.8097772883015173,0.24080267548561096,1.8573324964312685,9.205646514892578,supervised,D1,1
