endpoint,endpoint_class,model_id,model,dataset_id,dataset,alpha,target_coverage,method,n_test,n_cal,n_test_pos,n_test_neg,coverage,coverage_tp,coverage_tn,avg_set_size,singleton_rate,empty_rate,both_rate,conformal_quantile,quantile_is_inf
NORM,Normal,M2,ST-MEM,D4,CPSC2018,0.1,0.9,platt,1031,1031,133,898,0.8903976721629486,0.5037593984962406,0.9476614699331849,0.933074684772066,0.933074684772066,0.06692531522793405,0.0,0.21034026812934736,False
NORM,Normal,M2,ST-MEM,D4,CPSC2018,0.1,0.9,isotonic,1031,1031,133,898,0.8942774005819593,0.45864661654135336,0.9587973273942093,0.9437439379243453,0.9437439379243453,0.05625606207565471,0.0,0.3076923076923077,False
NORM,Normal,M2,ST-MEM,D4,CPSC2018,0.1,0.9,temperature,1031,1031,133,898,0.9010669253152279,0.631578947368421,0.9409799554565702,0.9466537342386033,0.9466537342386033,0.0533462657613967,0.0,0.3898107234877338,False
NORM,Normal,M2,ST-MEM,D4,CPSC2018,0.2,0.8,raw,1031,1031,133,898,0.7895247332686712,0.38345864661654133,0.8496659242761693,0.8031037827352085,0.8031037827352085,0.19689621726479145,0.0,0.02672066553027271,False
NORM,Normal,M2,ST-MEM,D4,CPSC2018,0.2,0.8,platt,1031,1031,133,898,0.7866149369544132,0.0,0.9031180400890868,0.8021338506304558,0.8021338506304558,0.19786614936954414,0.0,0.058862991455568094,False
NORM,Normal,M2,ST-MEM,D4,CPSC2018,0.2,0.8,isotonic,1031,1031,133,898,0.7982541222114452,0.45112781954887216,0.8496659242761693,0.8147429679922406,0.8147429679922406,0.18525703200775945,0.0,0.16666666666666663,False
NORM,Normal,M2,ST-MEM,D4,CPSC2018,0.2,0.8,temperature,1031,1031,133,898,0.7895247332686712,0.38345864661654133,0.8496659242761693,0.8031037827352085,0.8031037827352085,0.19689621726479145,0.0,0.16052351968813486,False
NORM,SR,M2,ST-MEM,D5,MIMIC-IV-ECG,0.1,0.9,raw,301,298,269,32,0.9235880398671097,0.966542750929368,0.5625,1.132890365448505,0.867109634551495,0.0,0.132890365448505,0.8972310812608514,False
NORM,SR,M2,ST-MEM,D5,MIMIC-IV-ECG,0.1,0.9,platt,301,298,269,32,0.9401993355481728,1.0,0.4375,1.0764119601328903,0.9235880398671097,0.0,0.07641196013289037,0.5677417453346116,False
NORM,SR,M2,ST-MEM,D5,MIMIC-IV-ECG,0.1,0.9,isotonic,301,298,269,32,0.9401993355481728,1.0,0.4375,1.0730897009966778,0.9269102990033222,0.0,0.07308970099667775,0.6363636363636364,False
NORM,SR,M2,ST-MEM,D5,MIMIC-IV-ECG,0.1,0.9,temperature,301,298,269,32,0.9235880398671097,0.966542750929368,0.5625,1.132890365448505,0.867109634551495,0.0,0.132890365448505,0.6748446454642123,False
NORM,SR,M2,ST-MEM,D5,MIMIC-IV-ECG,0.2,0.8,raw,301,298,269,32,0.8737541528239202,0.9219330855018587,0.46875,0.9634551495016611,0.9634551495016611,0.036544850498338874,0.0,0.30821621767752183,False
NORM,SR,M2,ST-MEM,D5,MIMIC-IV-ECG,0.2,0.8,platt,301,298,269,32,0.8504983388704319,0.9516728624535316,0.0,0.9069767441860465,0.9069767441860465,0.09302325581395349,0.0,0.34228033890690657,False
NORM,SR,M2,ST-MEM,D5,MIMIC-IV-ECG,0.2,0.8,isotonic,301,298,269,32,0.867109634551495,0.9591078066914498,0.09375,0.9269102990033222,0.9269102990033222,0.07308970099667775,0.0,0.23076923076923073,False
NORM,SR,M2,ST-MEM,D5,MIMIC-IV-ECG,0.2,0.8,temperature,301,298,269,32,0.8737541528239202,0.9219330855018587,0.46875,0.9634551495016611,0.9634551495016611,0.036544850498338874,0.0,0.43230837398229116,False
NORM,NORM,M3,HuBERT-ECG,D1,PTB-XL,0.1,0.9,raw,299,297,142,157,0.8896321070234113,0.8873239436619719,0.89171974522293,1.2508361204013378,0.7491638795986622,0.0,0.2508361204013378,0.9365710307203674,False
NORM,NORM,M3,HuBERT-ECG,D1,PTB-XL,0.1,0.9,platt,299,297,142,157,0.8896321070234113,0.8661971830985915,0.910828025477707,1.2876254180602007,0.7123745819397993,0.0,0.28762541806020064,0.7834264660252276,False
NORM,NORM,M3,HuBERT-ECG,D1,PTB-XL,0.1,0.9,isotonic,299,297,142,157,0.8862876254180602,0.8873239436619719,0.8853503184713376,1.2508361204013378,0.7491638795986622,0.0,0.2508361204013378,0.5932203389830508,False
NORM,NORM,M3,HuBERT-ECG,D1,PTB-XL,0.1,0.9,temperature,299,297,142,157,0.8896321070234113,0.8873239436619719,0.89171974522293,1.2508361204013378,0.7491638795986622,0.0,0.2508361204013378,0.6572861467997315,False
NORM,NORM,M3,HuBERT-ECG,D1,PTB-XL,0.2,0.8,raw,299,297,142,157,0.8160535117056856,0.8028169014084507,0.8280254777070064,1.0735785953177257,0.9264214046822743,0.0,0.07357859531772576,0.7157412124878887,False
NORM,NORM,M3,HuBERT-ECG,D1,PTB-XL,0.2,0.8,platt,299,297,142,157,0.8160535117056856,0.8028169014084507,0.8280254777070064,1.0702341137123745,0.9297658862876255,0.0,0.07023411371237458,0.6373958162553075,False
NORM,NORM,M3,HuBERT-ECG,D1,PTB-XL,0.2,0.8,isotonic,299,297,142,157,0.8260869565217391,0.8873239436619719,0.7707006369426752,1.0635451505016722,0.9364548494983278,0.0,0.06354515050167224,0.5833333333333334,False
NORM,NORM,M3,HuBERT-ECG,D1,PTB-XL,0.2,0.8,temperature,299,297,142,157,0.8160535117056856,0.8028169014084507,0.8280254777070064,1.0735785953177257,0.9264214046822743,0.0,0.07357859531772576,0.5556097876897678,False
NORM,NORM,M3,HuBERT-ECG,D3,CODE-15%,0.1,0.9,raw,1197,1200,459,738,0.9022556390977443,0.8431372549019608,0.9390243902439024,1.518796992481203,0.48120300751879697,0.0,0.518796992481203,0.7847124232028457,False
NORM,NORM,M3,HuBERT-ECG,D3,CODE-15%,0.1,0.9,platt,1197,1200,459,738,0.9081035923141186,0.7973856209150327,0.9769647696476965,1.4995822890559733,0.5004177109440268,0.0,0.49958228905597324,0.711057241793019,False
NORM,NORM,M3,HuBERT-ECG,D3,CODE-15%,0.1,0.9,isotonic,1197,1200,459,738,0.9298245614035088,0.8518518518518519,0.978319783197832,1.5789473684210527,0.42105263157894735,0.0,0.5789473684210527,0.6491228070175439,False
NORM,NORM,M3,HuBERT-ECG,D3,CODE-15%,0.1,0.9,temperature,1197,1200,459,738,0.9022556390977443,0.8431372549019608,0.9390243902439024,1.518796992481203,0.48120300751879697,0.0,0.518796992481203,0.6698180685446771,False
NORM,NORM,M3,HuBERT-ECG,D3,CODE-15%,0.2,0.8,raw,1197,1200,459,738,0.7811194653299917,0.7015250544662309,0.8306233062330624,1.2355889724310778,0.7644110275689223,0.0,0.23558897243107768,0.6323089139675415,False
NORM,NORM,M3,HuBERT-ECG,D3,CODE-15%,0.2,0.8,platt,1197,1200,459,738,0.7878028404344194,0.6187363834422658,0.8929539295392954,1.2464494569757727,0.7535505430242272,0.0,0.24644945697577275,0.6038147660194968,False
NORM,NORM,M3,HuBERT-ECG,D3,CODE-15%,0.2,0.8,isotonic,1197,1200,459,738,0.7886382623224728,0.681917211328976,0.8550135501355014,1.239766081871345,0.7602339181286549,0.0,0.23976608187134502,0.5909090909090909,False
NORM,NORM,M3,HuBERT-ECG,D3,CODE-15%,0.2,0.8,temperature,1197,1200,459,738,0.7811194653299917,0.7015250544662309,0.8306233062330624,1.2355889724310778,0.7644110275689223,0.0,0.23558897243107768,0.5735885310679602,False
NORM,Normal,M3,HuBERT-ECG,D4,CPSC2018,0.1,0.9,raw,1031,1031,133,898,0.895247332686712,0.5338345864661654,0.9487750556792873,1.0242483026188167,0.9757516973811833,0.0,0.02424830261881668,0.5870777423349052,False
NORM,Normal,M3,HuBERT-ECG,D4,CPSC2018,0.1,0.9,platt,1031,1031,133,898,0.8991270611057226,0.39849624060150374,0.9732739420935412,1.0223084384093113,0.9776915615906887,0.0,0.02230843840931135,0.5740866690765847,False
NORM,Normal,M3,HuBERT-ECG,D4,CPSC2018,0.1,0.9,isotonic,1031,1031,133,898,0.9088263821532493,0.5037593984962406,0.9688195991091314,1.0387972841901068,0.9612027158098934,0.0,0.038797284190106696,0.5806451612903225,False
NORM,Normal,M3,HuBERT-ECG,D4,CPSC2018,0.1,0.9,temperature,1031,1031,133,898,0.895247332686712,0.5338345864661654,0.9487750556792873,1.0242483026188167,0.9757516973811833,0.0,0.02424830261881668,0.5433022163024748,False
