dataset_id,dataset_name,model_id,model_name,cal_size,effective_n,rep,seed,min_class_pos_in_cal,min_class_neg_in_cal,method,ece_ew,brier,auroc,status
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,4,46,3,22,learned_mlp_head,0.0942690078613054,0.15089454681734477,0.7479246809835045,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,0,42,6,28,temperature_scaling,0.06583621295103864,0.14579868680381744,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,0,42,6,28,monotone_platt,0.07512236746335456,0.1462813476550372,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,0,42,6,28,isotonic_regression,0.06948395743988177,0.15318451512979778,0.7187935666759195,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,0,42,6,28,learned_mlp_head,0.07557005028727759,0.14765677351000245,0.7446899756899757,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,1,43,4,23,temperature_scaling,0.07387497047916514,0.1476494982569031,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,1,43,4,23,monotone_platt,0.08552452944088137,0.15223373506242693,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,1,43,4,23,isotonic_regression,0.08550453462009075,0.1577308813073976,0.7144682960271196,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,1,43,4,23,learned_mlp_head,0.09114201131609746,0.14807252537022916,0.7528163962281609,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,2,44,6,28,temperature_scaling,0.07609524757590776,0.14659315833110004,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,2,44,6,28,monotone_platt,0.08295729851163838,0.15221271648621762,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,2,44,6,28,isotonic_regression,0.08721391285344274,0.1607609683112622,0.7193601837131249,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,2,44,6,28,learned_mlp_head,0.09649856829813107,0.14888735114337884,0.7437878971408384,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,3,45,6,28,temperature_scaling,0.08680139023527596,0.14788087071208514,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,3,45,6,28,monotone_platt,0.07500916355411806,0.1495867984125136,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,3,45,6,28,isotonic_regression,0.0800119369336327,0.1526392669049492,0.7219581850758322,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,3,45,6,28,learned_mlp_head,0.09560958112112289,0.14707030297109286,0.7460894255600138,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,4,46,7,29,temperature_scaling,0.07205728481330854,0.14577763070631317,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,4,46,7,29,monotone_platt,0.06543949746931113,0.1451613627673406,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,4,46,7,29,isotonic_regression,0.060467233728026926,0.14771274227718528,0.716507473860415,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,75,4,46,7,29,learned_mlp_head,0.0734307344481735,0.1474141935093894,0.7366901775725305,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,0,42,8,43,temperature_scaling,0.07585056632485929,0.14572189246423697,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,0,42,8,43,monotone_platt,0.0709144498995202,0.1466016527877061,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,0,42,8,43,isotonic_regression,0.05434958526456256,0.15018017673191994,0.7216166039989569,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,0,42,8,43,learned_mlp_head,0.06525988066520715,0.14392376141692034,0.7506126630832514,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,1,43,2,42,temperature_scaling,0.07287145618736109,0.14834065307729632,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,1,43,2,42,monotone_platt,0.07667933079724026,0.14916416655264927,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,1,43,2,42,isotonic_regression,0.07981836931882931,0.1546740150559492,0.7201888022476257,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,1,43,2,42,learned_mlp_head,0.07981720873362196,0.1450588591660731,0.7537974360915537,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,2,44,6,36,temperature_scaling,0.06846459817385322,0.14593147837881207,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,2,44,6,36,monotone_platt,0.09406831927546837,0.15292111585895934,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,2,44,6,36,isotonic_regression,0.08912443148498495,0.15976539690225283,0.7100094506270977,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,2,44,6,36,learned_mlp_head,0.08637336667993833,0.14924283956591738,0.7470600348247407,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,3,45,9,45,temperature_scaling,0.07028358839214963,0.14657760984138196,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,3,45,9,45,monotone_platt,0.08627738186677081,0.15218809186596632,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,3,45,9,45,isotonic_regression,0.07482984567696065,0.16457120373688136,0.7119884127825304,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,3,45,9,45,learned_mlp_head,0.07725373163356064,0.145543281108784,0.7539971147618206,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,4,46,9,42,temperature_scaling,0.07936413611259338,0.1453521969450244,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,4,46,9,42,monotone_platt,0.0662532230980777,0.1468753145193199,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,4,46,9,42,isotonic_regression,0.06127115897980327,0.15095440854443373,0.7168963627493039,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,4,46,9,42,learned_mlp_head,0.07641656612253558,0.1477990640178405,0.7406270472152825,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,0,42,8,57,temperature_scaling,0.07238433396528679,0.1460257623329913,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,0,42,8,57,monotone_platt,0.0765434685535073,0.148401670407791,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,0,42,8,57,isotonic_regression,0.0681896098465902,0.1508375075444183,0.7244518468047879,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,0,42,8,57,learned_mlp_head,0.07397978174948938,0.145748833662868,0.7488074292780176,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,1,43,11,58,temperature_scaling,0.0695172200340672,0.1455493167431357,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,1,43,11,58,monotone_platt,0.060083569842576255,0.14691718438522955,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,1,43,11,58,isotonic_regression,0.06255747650003264,0.15072698559124756,0.7235005677946854,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,1,43,11,58,learned_mlp_head,0.0913226769223732,0.15094952217208354,0.7409014392543805,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,2,44,11,67,temperature_scaling,0.07585525812475752,0.1458876361993216,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,2,44,11,67,monotone_platt,0.07714031018287748,0.14783573379904186,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,2,44,11,67,isotonic_regression,0.06926738400053808,0.15458387314864577,0.7244623068446597,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,2,44,11,67,learned_mlp_head,0.0651653906185701,0.14477348260835704,0.7514346615523085,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,3,45,11,59,temperature_scaling,0.06486611210752072,0.1454947464150346,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,3,45,11,59,monotone_platt,0.06772227275333996,0.14702227761127645,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,3,45,11,59,isotonic_regression,0.056479722261117596,0.14998448545426996,0.7230641565935685,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,3,45,11,59,learned_mlp_head,0.07011264037977846,0.14437096889994802,0.7499413783531431,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,4,46,10,57,temperature_scaling,0.07306440477647085,0.14565727202265452,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,4,46,10,57,monotone_platt,0.0730621516489615,0.14764257017032995,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,4,46,10,57,isotonic_regression,0.06028019225654115,0.15300051126031833,0.7228917152446563,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,4,46,10,57,learned_mlp_head,0.07674740461217616,0.14577609598836783,0.748450786921375,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,0,42,13,81,temperature_scaling,0.06953543303762405,0.1456050147442395,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,0,42,13,81,monotone_platt,0.07475178373108424,0.14723400468522554,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,0,42,13,81,isotonic_regression,0.06088315856381599,0.15132426271958144,0.7245871880283645,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,0,42,13,81,learned_mlp_head,0.07893436022025624,0.14561316798940216,0.7495291257644199,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,1,43,13,81,temperature_scaling,0.06953543303762405,0.1456050147442395,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,1,43,13,81,monotone_platt,0.07475178373108424,0.14723400468522554,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,1,43,13,81,isotonic_regression,0.06088315856381599,0.15132426271958144,0.7245871880283645,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,1,43,13,81,learned_mlp_head,0.07893436022025624,0.14561316798940216,0.7495291257644199,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,2,44,13,81,temperature_scaling,0.06953543303762405,0.1456050147442395,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,2,44,13,81,monotone_platt,0.07475178373108424,0.14723400468522554,0.738817683229448,ok
