dataset,dataset_id,model,model_id,metric,mean,std,min,max
PTB-XL,D1,ECG-FM,M5,ece_reduction_pct,42.40303368250377,6.348194735940121,31.826117946487514,51.12476245918644
PTB-XL,D1,S4D,M6,auroc,0.7848351224124648,0.020924827934609164,0.7494728692276306,0.8157655352748476
PTB-XL,D1,S4D,M6,ece,0.06230083573409101,0.004037520739836525,0.05564523239632822,0.06938697775516159
PTB-XL,D1,S4D,M6,adaptive_ece,0.07062351599383562,0.007296767215487518,0.05385036434596792,0.08037136863767122
PTB-XL,D1,S4D,M6,brier,0.13721722830994465,0.006513188464565588,0.1285291236869201,0.15200626970027847
PTB-XL,D1,S4D,M6,nll,0.44267242212344116,0.025423425544982295,0.41527635622903486,0.5002952139392329
PTB-XL,D1,S4D,M6,ece_isotonic,0.05681899870478415,0.006885084125578419,0.0389966686508158,0.06649626392155633
PTB-XL,D1,S4D,M6,ece_reduction_pct,8.81854699178496,9.954692170758404,-7.5229680468202895,29.91911980335441
MIMIC-IV-ECG,D5,MERL,M1,auroc,0.8824359477169257,0.012338088672337804,0.8683965507471093,0.9037078183690078
MIMIC-IV-ECG,D5,MERL,M1,ece,0.0629465056511932,0.004092426823328886,0.05719530039426438,0.07056760927955959
MIMIC-IV-ECG,D5,MERL,M1,adaptive_ece,0.05648522330862369,0.003183241503210159,0.050793574189010794,0.06126902096075345
MIMIC-IV-ECG,D5,MERL,M1,brier,0.07220236167111602,0.004914430398917969,0.06632420348144935,0.08283085093855641
MIMIC-IV-ECG,D5,MERL,M1,nll,0.2942302197832367,0.023356024201552448,0.2532876094739437,0.3313862799978939
MIMIC-IV-ECG,D5,MERL,M1,ece_isotonic,0.03766942360503558,0.002279669727057719,0.03344078784706075,0.041273176185785874
MIMIC-IV-ECG,D5,MERL,M1,ece_reduction_pct,39.880826316267814,5.736849079622064,30.596100632295524,46.428160782944836
MIMIC-IV-ECG,D5,ST-MEM,M2,auroc,0.8638009448292643,0.013258376512863415,0.8479196220530731,0.8946021616982831
MIMIC-IV-ECG,D5,ST-MEM,M2,ece,0.07749349672992503,0.005128401873552488,0.06866649593654879,0.08815390525760274
MIMIC-IV-ECG,D5,ST-MEM,M2,adaptive_ece,0.06765022473167748,0.0055501698489839576,0.05804233869100054,0.07726324170962282
MIMIC-IV-ECG,D5,ST-MEM,M2,brier,0.07955388554744829,0.003684705681928149,0.07398859869310104,0.08694199346158682
MIMIC-IV-ECG,D5,ST-MEM,M2,nll,0.37975553070992624,0.030111034096150985,0.32390023307711097,0.42905074408789057
MIMIC-IV-ECG,D5,ST-MEM,M2,ece_isotonic,0.036481213510132414,0.005290247670713194,0.0291022158112124,0.047254286022174165
MIMIC-IV-ECG,D5,ST-MEM,M2,ece_reduction_pct,52.65784804963223,8.157139541883415,37.543041836471986,60.764544657701414
MIMIC-IV-ECG,D5,HuBERT-ECG,M3,auroc,0.8354125045376,0.013217869862013917,0.8122157859106723,0.8536227982856207
MIMIC-IV-ECG,D5,HuBERT-ECG,M3,ece,0.09005841260059821,0.007261196739559862,0.08036190448384384,0.1027392693364546
MIMIC-IV-ECG,D5,HuBERT-ECG,M3,adaptive_ece,0.0822546045007664,0.006974510560122719,0.07261023611987051,0.09660881542710727
MIMIC-IV-ECG,D5,HuBERT-ECG,M3,brier,0.09381227042385401,0.007639489573013819,0.0844817243726867,0.1082208387457048
MIMIC-IV-ECG,D5,HuBERT-ECG,M3,nll,0.4142806043225306,0.037785745429032035,0.3614095866084816,0.4871128818032622
MIMIC-IV-ECG,D5,HuBERT-ECG,M3,ece_isotonic,0.038322096794637175,0.003321544596167723,0.030268299010066644,0.041704672034075685
MIMIC-IV-ECG,D5,HuBERT-ECG,M3,ece_reduction_pct,57.32218139423355,3.719241245199516,50.606734797511415,63.056700666061516
MIMIC-IV-ECG,D5,ECGFM-KED,M4,auroc,0.7437931167983238,0.018200879737981266,0.7146471214103002,0.774368928547565
MIMIC-IV-ECG,D5,ECGFM-KED,M4,ece,0.06599152234226749,0.00564716704162173,0.05598430283389171,0.07417221227030597
MIMIC-IV-ECG,D5,ECGFM-KED,M4,adaptive_ece,0.06768440496670439,0.005421167788190172,0.058439766307887886,0.07532641775862296
MIMIC-IV-ECG,D5,ECGFM-KED,M4,brier,0.09279313734050729,0.0039029428734914363,0.08735702581304187,0.10017157302326185
MIMIC-IV-ECG,D5,ECGFM-KED,M4,nll,0.37089140704275964,0.023102901797124615,0.32766618575626594,0.408527165966619
MIMIC-IV-ECG,D5,ECGFM-KED,M4,ece_isotonic,0.040448664238631644,0.007399119804317464,0.026219102285332446,0.053810441605227334
MIMIC-IV-ECG,D5,ECGFM-KED,M4,ece_reduction_pct,38.45559005680984,12.050975081777691,15.447587800827165,53.1670469075486
MIMIC-IV-ECG,D5,ECG-FM,M5,auroc,0.7916814537923483,0.014529292952879629,0.7697869609301989,0.8190704782250074
MIMIC-IV-ECG,D5,ECG-FM,M5,ece,0.07838872762970789,0.0033605857209055164,0.07528117977552523,0.08622669456588151
MIMIC-IV-ECG,D5,ECG-FM,M5,adaptive_ece,0.07495450062544681,0.002917564461543822,0.06983515356330394,0.07832667147977575
MIMIC-IV-ECG,D5,ECG-FM,M5,brier,0.09295900562811008,0.003628625714837042,0.08928220717884842,0.10092205155316875
MIMIC-IV-ECG,D5,ECG-FM,M5,nll,0.35044601083756166,0.015185192642101913,0.33133705758378923,0.3859599829080513
MIMIC-IV-ECG,D5,ECG-FM,M5,ece_isotonic,0.03713686516727049,0.0041372964415990155,0.031175701356196166,0.04394875592304826
MIMIC-IV-ECG,D5,ECG-FM,M5,ece_reduction_pct,52.54645954682242,5.588884304320519,42.65321655171599,61.128163431024014
MIMIC-IV-ECG,D5,S4D,M6,auroc,0.7770407698466444,0.01853275061318448,0.7475914889359765,0.8143362840312441
MIMIC-IV-ECG,D5,S4D,M6,ece,0.046375405171656205,0.0038706206331441733,0.04126166922000041,0.053044786180577695
MIMIC-IV-ECG,D5,S4D,M6,adaptive_ece,0.05021032624840893,0.002999300670250691,0.04515821406492171,0.05480014983206292
MIMIC-IV-ECG,D5,S4D,M6,brier,0.08331826511704007,0.004648139456549042,0.07705660775282079,0.09254463359651822
MIMIC-IV-ECG,D5,S4D,M6,nll,0.3032219966364046,0.020356923121296274,0.27358044027204564,0.33849394074771105
MIMIC-IV-ECG,D5,S4D,M6,ece_isotonic,0.04082543144708654,0.006486984439945767,0.027760621665360335,0.05004366339212873
MIMIC-IV-ECG,D5,S4D,M6,ece_reduction_pct,11.592644530911942,14.582310008196965,-9.440567962267243,36.230598489621954
