dataset_id,dataset_name,model_id,model_name,cal_size,method,auroc_mean,auroc_std,ece_ew_mean,ece_ew_std,brier_mean,brier_std
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,150,monotone_platt,0.986927,0.0,0.028916,0.001577,0.02097,0.0002
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,150,raw,0.952294,0.0,0.090325,0.0,0.06591,0.0
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,200,isotonic,0.922207,0.00024,0.026227,0.00011,0.0324,5.8e-05
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,200,mlp_head,0.934116,0.029439,0.062461,0.00573,0.044923,0.004163
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,200,monotone_platt,0.986927,0.0,0.028846,0.000141,0.020684,3.2e-05
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,200,raw,0.952294,0.0,0.090325,0.0,0.06591,0.0
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,isotonic,0.574171,0.017489,0.093449,0.019274,0.096332,0.012394
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,mlp_head,0.513678,0.031692,0.246469,0.03923,0.150345,0.017618
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,monotone_temperature,0.579946,0.001054,0.084413,0.000491,0.082628,5.5e-05
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,raw,0.582249,0.0,0.08687,0.0,0.08543,0.0
D3,CODE-15%,M6_s4d_configured,Configured S4D,50,isotonic,0.571529,0.009533,0.065629,0.015674,0.088177,0.008243
D3,CODE-15%,M6_s4d_configured,Configured S4D,50,mlp_head,0.51052,0.022083,0.166629,0.065941,0.116712,0.032594
D3,CODE-15%,M6_s4d_configured,Configured S4D,50,monotone_temperature,0.578774,0.002225,0.084676,0.000681,0.082972,0.000645
D3,CODE-15%,M6_s4d_configured,Configured S4D,50,raw,0.582249,0.0,0.08687,0.0,0.08543,0.0
D3,CODE-15%,M6_s4d_configured,Configured S4D,75,isotonic,0.572253,0.00847,0.041169,0.007456,0.07786,0.001153
D3,CODE-15%,M6_s4d_configured,Configured S4D,75,mlp_head,0.50057,0.020719,0.098236,0.026527,0.091941,0.006574
D3,CODE-15%,M6_s4d_configured,Configured S4D,75,monotone_temperature,0.577474,0.001367,0.084964,0.000576,0.082833,0.000537
D3,CODE-15%,M6_s4d_configured,Configured S4D,75,raw,0.582249,0.0,0.08687,0.0,0.08543,0.0
D3,CODE-15%,M6_s4d_configured,Configured S4D,100,isotonic,0.574187,0.021532,0.043076,0.006413,0.079621,0.002494
D3,CODE-15%,M6_s4d_configured,Configured S4D,100,mlp_head,0.505526,0.027431,0.047946,0.011996,0.079895,0.001271
D3,CODE-15%,M6_s4d_configured,Configured S4D,100,monotone_temperature,0.576526,0.000441,0.084676,0.000477,0.082684,0.000136
D3,CODE-15%,M6_s4d_configured,Configured S4D,100,raw,0.582249,0.0,0.08687,0.0,0.08543,0.0
D3,CODE-15%,M6_s4d_configured,Configured S4D,150,isotonic,0.568635,0.009864,0.040579,0.002937,0.077572,0.000636
D3,CODE-15%,M6_s4d_configured,Configured S4D,150,mlp_head,0.49898,0.008111,0.033415,0.007141,0.078274,0.000629
D3,CODE-15%,M6_s4d_configured,Configured S4D,150,monotone_temperature,0.576098,0.000557,0.084811,0.000324,0.082546,2.5e-05
D3,CODE-15%,M6_s4d_configured,Configured S4D,150,raw,0.582249,0.0,0.08687,0.0,0.08543,0.0
D3,CODE-15%,M6_s4d_configured,Configured S4D,200,isotonic,0.564793,0.001923,0.03763,0.000504,0.076567,2.9e-05
D3,CODE-15%,M6_s4d_configured,Configured S4D,200,mlp_head,0.491725,0.026885,0.032411,0.013036,0.078444,0.002062
D3,CODE-15%,M6_s4d_configured,Configured S4D,200,monotone_temperature,0.575598,1.8e-05,0.084804,1e-06,0.082555,0.0
D3,CODE-15%,M6_s4d_configured,Configured S4D,200,raw,0.582249,0.0,0.08687,0.0,0.08543,0.0
