dataset_id,dataset_name,model_id,model_name,cal_size,rep,method,auroc,ece_ew,brier
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,0,mlp_head,0.781936,0.254889,0.204758
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,1,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,1,monotone_platt,0.862385,0.070125,0.097779
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,1,isotonic,0.811712,0.086708,0.1091
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,1,mlp_head,0.73373,0.172608,0.166453
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,2,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,2,monotone_platt,0.879274,0.092714,0.105324
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,2,isotonic,0.774088,0.074544,0.11677
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,2,mlp_head,0.721566,0.163024,0.153835
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,3,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,3,monotone_platt,0.879274,0.083414,0.101796
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,3,isotonic,0.758694,0.069245,0.112928
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,3,mlp_head,0.755441,0.162097,0.164114
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,4,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,4,monotone_platt,0.879274,0.080809,0.108174
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,4,isotonic,0.777613,0.068417,0.104991
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,4,mlp_head,0.598162,0.243935,0.20548
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,0,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,0,monotone_platt,0.879274,0.075864,0.094835
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,0,isotonic,0.822826,0.070608,0.104639
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,0,mlp_head,0.723916,0.174273,0.15529
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,1,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,1,monotone_platt,0.879274,0.059889,0.095348
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,1,isotonic,0.82566,0.063152,0.10321
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,1,mlp_head,0.830674,0.100949,0.123194
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,2,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,2,monotone_platt,0.879274,0.063974,0.090481
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,2,isotonic,0.827821,0.061567,0.100431
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,2,mlp_head,0.779971,0.153319,0.144271
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,3,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,3,monotone_platt,0.879274,0.064891,0.095557
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,3,isotonic,0.797386,0.068946,0.105963
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,3,mlp_head,0.825359,0.178941,0.139293
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,4,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,4,monotone_platt,0.879274,0.075258,0.098108
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,4,isotonic,0.80554,0.088083,0.113807
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,4,mlp_head,0.823716,0.131863,0.13038
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,0,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,0,monotone_platt,0.879274,0.059367,0.089926
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,0,isotonic,0.823137,0.038996,0.097741
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,0,mlp_head,0.798835,0.126612,0.130475
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,1,raw,0.835555,0.077066,0.101008
