dataset_id,dataset_name,model_id,model_name,recal_method,class_name,status,test_pos,test_neg,auc_raw,auc_recal,raw_minus_recal_auc,recal_minus_raw_auc,z_statistic,p_value,nominal_significant_degradation
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,RBBB,computed,19,181,0.9979645245710963,0.9979645245710963,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,LBBB,computed,15,185,0.9819819819819819,0.9819819819819819,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,SB,computed,14,186,0.9900153609831029,0.9900153609831029,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,ST,computed,19,181,0.992148880488514,0.992148880488514,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,AF,computed,21,179,0.9960095770151637,0.9960095770151637,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,isotonic_regression,1dAVb,computed,11,189,0.9634439634439635,0.9252044252044253,0.038239538239538295,-0.038239538239538295,1.1719443744213982,0.24121938975459,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,isotonic_regression,RBBB,computed,19,181,0.9979645245710963,0.9966560046525152,0.0013085199185810525,-0.0013085199185810525,1.257788237343693,0.2084683507997478,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,isotonic_regression,LBBB,computed,15,185,0.9819819819819819,0.9569369369369369,0.02504504504504501,-0.02504504504504501,1.0294812734102914,0.3032535751687818,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,isotonic_regression,SB,computed,14,186,0.9900153609831029,0.98963133640553,0.00038402457757291675,-0.00038402457757291675,0.1062782054088741,0.9153616232078176,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,isotonic_regression,ST,computed,19,181,0.992148880488514,0.992148880488514,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,isotonic_regression,AF,computed,21,179,0.9960095770151637,0.9933492950252727,0.002660281989890989,-0.002660281989890989,1.4849805644534004,0.13754897265231636,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,learned_mlp_head,1dAVb,computed,11,189,0.9634439634439635,0.8961038961038961,0.06734006734006748,-0.06734006734006748,2.0348731108307634,0.04186364222203575,True
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,learned_mlp_head,RBBB,computed,19,181,0.9979645245710963,0.9749927304448968,0.02297179412619954,-0.02297179412619954,1.8066459522968008,0.07081749977949094,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,learned_mlp_head,LBBB,computed,15,185,0.9819819819819819,0.9812612612612613,0.0007207207207206023,-0.0007207207207206023,0.1885331857127867,0.8504587034934162,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,learned_mlp_head,SB,computed,14,186,0.9900153609831029,0.9804147465437788,0.00960061443932414,-0.00960061443932414,1.1875835504293955,0.23499752173839483,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,learned_mlp_head,ST,computed,19,181,0.992148880488514,0.9950567025298053,-0.0029078220412912525,0.0029078220412912525,-1.052858442696511,0.29240587492522596,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,learned_mlp_head,AF,computed,21,179,0.9960095770151637,0.9954775206171854,0.0005320563979782644,-0.0005320563979782644,0.38883596624662814,0.6973974931498079,False
