cell,model,dataset,method,macro_ece,macro_nll,macro_brier,macro_auroc,macro_auroc_loss_vs_raw,max_class_auroc_loss,selections
M3_D1,HuBERT-ECG,PTB-XL,isotonic,0.0418,0.4893,0.1187,0.7743,0.0122,0.024,
M3_D1,HuBERT-ECG,PTB-XL,ranksafe_eps0.005,0.0499,0.386,0.1182,0.7865,0.0,0.0,"{""eps0.005"": {""NORM"": ""temperature"", ""MI"": ""platt"", ""STTC"": ""platt"", ""CD"": ""platt"", ""HYP"": ""platt""}, ""eps0.01"": {""NORM"": ""temperature"", ""MI"": ""platt"", ""STTC"": ""isotonic"", ""CD"": ""platt"", ""HYP"": ""platt""}}"
M3_D1,HuBERT-ECG,PTB-XL,ranksafe_eps0.01,0.0461,0.3905,0.118,0.7851,0.0015,0.0073,"{""eps0.005"": {""NORM"": ""temperature"", ""MI"": ""platt"", ""STTC"": ""platt"", ""CD"": ""platt"", ""HYP"": ""platt""}, ""eps0.01"": {""NORM"": ""temperature"", ""MI"": ""platt"", ""STTC"": ""isotonic"", ""CD"": ""platt"", ""HYP"": ""platt""}}"
M4_D1,ECGFM-KED,PTB-XL,raw,0.0792,0.4613,0.1327,0.7694,0.0,0.0,
M4_D1,ECGFM-KED,PTB-XL,platt,0.0619,0.404,0.1263,0.7694,0.0,0.0,
M4_D1,ECGFM-KED,PTB-XL,temperature,0.0963,0.4365,0.1339,0.7694,0.0,0.0,
M4_D1,ECGFM-KED,PTB-XL,isotonic,0.0335,0.4684,0.1253,0.7643,0.0051,0.0128,
M4_D1,ECGFM-KED,PTB-XL,ranksafe_eps0.005,0.0548,0.4371,0.1257,0.7682,0.0012,0.0058,"{""eps0.005"": {""NORM"": ""temperature"", ""MI"": ""platt"", ""STTC"": ""isotonic"", ""CD"": ""platt"", ""HYP"": ""platt""}, ""eps0.01"": {""NORM"": ""temperature"", ""MI"": ""platt"", ""STTC"": ""isotonic"", ""CD"": ""platt"", ""HYP"": ""isotonic""}}"
M4_D1,ECGFM-KED,PTB-XL,ranksafe_eps0.01,0.0525,0.4623,0.1261,0.7694,-0.0001,0.0058,"{""eps0.005"": {""NORM"": ""temperature"", ""MI"": ""platt"", ""STTC"": ""isotonic"", ""CD"": ""platt"", ""HYP"": ""platt""}, ""eps0.01"": {""NORM"": ""temperature"", ""MI"": ""platt"", ""STTC"": ""isotonic"", ""CD"": ""platt"", ""HYP"": ""isotonic""}}"
M5_D1,ECG-FM,PTB-XL,raw,0.0882,0.4462,0.1248,0.8148,0.0,0.0,
